Track Name,Artist,Album,Release Date,Duration (ms)
Chaleya,Anirudh Ravichander,Jawan,2023-09-05,200373
Heeriye (feat. Arijit Singh),Jasleen Royal,Heeriye (feat. Arijit Singh),2023-07-25,194857
Cheques,Shubh,Still Rollin,2023-05-19,183756
With You,AP Dhillon,With You,2023-08-11,154554
"Janiye (from the Netflix Film ""Chor Nikal Ke Bhaga"")",Vishal Mishra,"Janiye (from the Netflix Film ""Chor Nikal Ke Bhaga"")",2023-03-17,223390
Mahiye Jinna Sohna,Darshan Raval,Dard,2023-08-09,181250
Hukum - Thalaivar Alappara,Anirudh Ravichander,Jailer (Original Motion Picture Soundtrack),2023-07-28,207647
One Love,Shubh,One Love,2023-08-18,159222
Softly,Karan Aujla,Making Memories,2023-08-18,155161
"What Jhumka ? (From ""Rocky Aur Rani Kii Prem Kahaani"")",Pritam,"What Jhumka ? (From ""Rocky Aur Rani Kii Prem Kahaani"")",2023-07-12,213611
Laado,MC SQUARE,Laado,2023-08-30,148615
9:45,Prabh Singh,9:45,2023-03-10,117606
Maan Meri Jaan,King,Champagne Talk,2022-10-12,194653
Malang Sajna,Sachet Tandon,Malang Sajna,2022-12-19,161041
Still Rollin,Shubh,Still Rollin,2023-05-19,174730
"Hayyoda (From ""Jawan"")",Anirudh Ravichander,"Hayyoda (From ""Jawan"")",2023-08-14,200142
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")",Sachin-Jigar,"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"") - Single",2023-05-16,266075
"Tum Kya Mile (From ""Rocky Aur Rani Kii Prem Kahaani"")",Pritam,"Tum Kya Mile (From ""Rocky Aur Rani Kii Prem Kahaani"")",2023-06-28,277500
Mi Amor,Sharn,Mi Amor,2022-09-30,203048
Kesariya,Pritam,Brahmastra (Original Motion Picture Soundtrack),2022-10-06,268164
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")",Sachin-Jigar,"Tere Vaaste (From ""Zara Hatke Zara Bachke"") - Single",2023-05-22,189136
Chale Jaana Phir (Humko Tere Bina),Denny,Chale Jaana Phir (Humko Tere Bina),2023-04-06,208933
"Naa Ready (From ""Leo"")",Anirudh Ravichander,"Naa Ready (From ""Leo"")",2023-06-22,248181
Not Ramaiya Vastavaiya,Anirudh Ravichander,Jawan,2023-09-05,202556
Kaavaalaa,Anirudh Ravichander,Jailer (Original Motion Picture Soundtrack),2023-07-28,190909
Yadav Brand 2,Sunny Yaduvanshi,Yadav Brand 2,2022-02-07,174252
"Agar Tum Saath Ho (From ""Tamasha"")",Alka Yagnik,Love Forever With Arijit Singh,2017-06-07,341054
Admirin' You (feat. Preston Pablo),Karan Aujla,Making Memories,2023-08-18,214750
Tere Pyaar Mein,Pritam,"Tere Pyaar Mein (From ""Tu Jhoothi Main Makkaar"")",2023-02-01,266094
Check It Out,Parmish Verma,Check It Out,2023-06-27,195957
Chaand Baaliyan,Aditya A,Chaand Baaliyan,2020-03-28,103264
Asal Mein,Darshan Raval,Asal Mein,2020-02-18,224240
True Stories,AP Dhillon,True Stories,2023-06-16,117972
"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",Arijit Singh,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",2019-05-31,284779
"O Bedardeya (From ""Tu Jhoothi Main Makkaar"")",Pritam,"O Bedardeya (From ""Tu Jhoothi Main Makkaar"")",2023-03-04,313051
Obsessed,Riar Saab,Obsessed,2022-09-29,190444
"Tere Hawaale (From ""Laal Singh Chaddha"")",Pritam,"Tere Hawaale (From ""Laal Singh Chaddha"")",2022-08-04,346290
Jee Ni Lagda,Karan Aujla,Making Memories,2023-08-18,139354
Aam Jahe Munde,Parmish Verma,Aam Jahe Munde,2020-05-02,207838
Manjha,Vishal Mishra,Manjha,2020-03-17,191647
"Raataan Lambiyan (From ""Shershaah"")",Tanishk Bagchi,"Raataan Lambiyan (From ""Shershaah"")",2021-07-30,230292
No Love,Shubh,No Love,2022-02-22,170387
Kahani Suno 2.0,Kaifi Khalil,Kahani Suno 2.0,2022-05-31,173637
Dhundhala,Yashraj,Dhundhala,2022-02-18,182400
Paint The Town Red,Doja Cat,Scarlet,2023-09-20,230480
Guli Mata,Saad Lamjarred,Guli Mata,2023-07-12,235574
Excuses,AP Dhillon,Excuses,2020-07-24,176232
I Wanna Be Yours,Arctic Monkeys,AM,2013-09-09,183956
White Brown Black,Avvy Sra,White Brown Black,2022-12-09,175999
"Neela Nilave (From ""RDX"")",Kapil Kapilan,"Neela Nilave (From ""Rdx"")",2023-08-25,253000
